"","res"
"1",-0.282796766358727
"2",-0.267772011397477
"3",-0.251270360391749
"4",-0.321946149101034
"5",-0.335189427670011
"6",-0.317526899679941
"7",-0.28414814607131
"8",-0.292716256248587
"9",-0.230804424986484
"10",-0.263712190409961
"11",-0.313900824258765
"12",-0.347446438274334
"13",-0.23139171786117
"14",-0.333280851507837
"15",-0.240477100580476
"16",-0.30365487971917
"17",-0.168111347419487
"18",-0.318058642558909
"19",-0.297514894043014
"20",-0.215429988250946
"21",-0.261137667661273
"22",-0.311409826560004
"23",-0.303929487895394
"24",-0.265141734925102
"25",-0.3394252700391
"26",-0.346514766402376
"27",-0.220458349777765
"28",-0.216802479852779
"29",-0.303509711908887
"30",-0.263191866897334
"31",-0.253430083419284
"32",-0.264142520720831
"33",-0.329743865119698
"34",-0.194757500282214
"35",-0.299661523541924
"36",-0.284466129557076
"37",-0.27992060060612
"38",-0.289223669175299
"39",-0.174301645176848
"40",-0.277068201140565
"41",-0.224154401200949
"42",-0.293118594699955
"43",-0.331006430043171
"44",-0.239443763648473
"45",-0.311965787985204
"46",-0.251129369817215
"47",-0.301916736403764
"48",-0.201749943154507
"49",-0.282036317943511
"50",-0.328443947727397
"51",-0.299526489964905
"52",-0.255438831417093
"53",-0.312555316608715
"54",-0.260415375370462
"55",-0.341893277898145
"56",-0.314675215579466
"57",-0.201643697470915
"58",-0.381699918231927
"59",-0.235951414708356
"60",-0.307368433184321
"61",-0.282322924685288
"62",-0.283843271661284
"63",-0.157090079083942
"64",-0.292389942940062
"65",-0.221141388978335
"66",-0.261831334109764
"67",-0.31456822683405
"68",-0.283782557237399
"69",-0.275699102049797
"70",-0.26347162789683
"71",-0.354008432595037
"72",-0.185591577393496
"73",-0.257092016340164
"74",-0.31200131257909
"75",-0.327535472833145
"76",-0.297365416457383
"77",-0.352392740720476
"78",-0.289985748809778
"79",-0.321948512076776
"80",-0.348472942416186
"81",-0.170343004452505
"82",-0.213882727565644
"83",-0.314506267209408
"84",-0.182301509514018
"85",-0.291839951258111
"86",-0.233751884895482
"87",-0.240729221316822
"88",-0.284768531810038
"89",-0.345407097125074
"90",-0.265172521244849
"91",-0.186497972862598
"92",-0.183058177610248
"93",-0.22258913401927
"94",-0.235464631711552
"95",-0.258633928330471
"96",-0.269687828697781
"97",-0.352713961935009
"98",-0.261141647330915
"99",-0.313969928837065
"100",-0.330744006962592
